bins(photon_counts/10^3),hist_ref,hist_atom(mol_freq=-64.79500000000002),hist_atom(mol_freq=-23.72500000000001),hist_atom(mol_freq=-10.03500000000001),hist_atom(mol_freq=-3.190000000000012)
-15.0,,,,,
-13.75,0.0,0.0,0.0,0.0,0.0
-12.5,0.00011331444759206799,0.0,0.0,0.0,0.0
-11.25,0.0,0.0,0.0,0.0,0.0
-10.0,0.0005665722379603399,0.0,0.0,0.0,0.0
-8.75,0.0016997167138810198,0.0,0.0,0.0,0.0
-7.5,0.006345609065155807,0.0,0.0,0.0,0.0
-6.25,0.014390934844192635,0.0,0.0,0.0,0.0
-5.0,0.034674220963172804,0.0,0.0,0.0,0.0
-3.75,0.07036827195467422,0.0,0.0,0.0,0.0
-2.5,0.11433427762039661,0.0,0.0,0.0,0.0
-1.25,0.1571671388101983,0.0,0.0,0.0,0.0
0.0,0.17575070821529745,0.0,0.0,0.0,0.0
1.25,0.1631728045325779,0.0,0.0,0.0,0.0
2.5,0.11909348441926346,0.0,0.0,0.0,0.0
3.75,0.07331444759206798,0.008156606851549755,0.0,0.0,0.0
5.0,0.04260623229461756,0.021207177814029365,0.0,0.0,0.0
6.25,0.017903682719546742,0.04567699836867863,0.0,0.0,0.0
7.5,0.005779036827195467,0.06851549755301795,0.0,0.0,0.0
8.75,0.0015864022662889518,0.15497553017944535,0.0,0.0,0.0
10.0,0.0006798866855524079,0.18107667210440456,0.0,0.0,0.0
11.25,0.00033994334277620395,0.1500815660685155,0.0,0.0,0.0
12.5,0.0,0.1500815660685155,0.0,0.0,0.0
13.75,0.0,0.09951060358890701,0.0,0.0,0.0
15.0,0.0,0.06525285481239804,0.0,0.0,0.0
16.25,0.0,0.03425774877650897,0.0,0.0,0.0
17.5,0.0,0.013050570962479609,0.0,0.0,0.0
18.75,0.0,0.004893964110929853,0.0,0.0,0.0
20.0,0.00011331444759206799,0.0032626427406199023,0.0,0.0,0.0
21.25,0.0,0.0,0.003616636528028933,0.0,0.0
22.5,0.0,0.0,0.012658227848101266,0.0,0.0
23.75,0.0,0.0,0.009041591320072333,0.0,0.0
25.0,0.0,0.0,0.0379746835443038,0.0,0.0
26.25,0.0,0.0,0.09041591320072333,0.0,0.0
27.5,0.0,0.0,0.11211573236889692,0.0,0.0
28.75,0.0,0.0,0.11754068716094032,0.0,0.0
30.0,0.0,0.0,0.13924050632911392,0.0,0.0
31.25,0.0,0.0,0.13381555153707053,0.0,0.0
32.5,0.0,0.0,0.13381555153707053,0.0,0.0
33.75,0.0,0.0,0.09403254972875226,0.0,0.0
35.0,0.0,0.0,0.0650994575045208,0.0,0.0
36.25,0.0,0.0,0.027124773960216998,0.0,0.0
37.5,0.0,0.0,0.012658227848101266,0.0,0.0
38.75,0.0,0.0,0.007233273056057866,0.00196078431372549,0.0
40.0,0.0,0.0,0.0018083182640144665,0.00392156862745098,0.0
41.25,0.0,0.0,0.0,0.013725490196078431,0.0
42.5,0.0,0.0,0.0,0.011764705882352941,0.0
43.75,0.0,0.0,0.0018083182640144665,0.029411764705882353,0.0
45.0,0.0,0.0,0.0,0.052941176470588235,0.0
46.25,0.0,0.0,0.0,0.07254901960784314,0.0
47.5,0.0,0.0,0.0,0.09019607843137255,0.0
48.75,0.0,0.0,0.0,0.12156862745098039,0.0
50.0,0.0,0.0,0.0,0.12156862745098039,0.0
51.25,0.0,0.0,0.0,0.1411764705882353,0.0
52.5,0.0,0.0,0.0,0.10392156862745099,0.0
53.75,0.0,0.0,0.0,0.0803921568627451,0.0021321961620469083
55.0,0.0,0.0,0.0,0.058823529411764705,0.0
56.25,0.0,0.0,0.0,0.056862745098039215,0.0021321961620469083
57.5,0.0,0.0,0.0,0.023529411764705882,0.0021321961620469083
58.75,0.0,0.0,0.0,0.00980392156862745,0.01279317697228145
60.0,0.0,0.0,0.0,0.00392156862745098,0.01279317697228145
61.25,0.0,0.0,0.0,0.0,0.0255863539445629
62.5,0.0,0.0,0.0,0.00196078431372549,0.04051172707889126
63.75,0.0,0.0,0.0,0.0,0.0511727078891258
65.0,0.0,0.0,0.0,0.0,0.057569296375266525
66.25,0.0,0.0,0.0,0.0,0.07249466950959488
67.5,0.0,0.0,0.0,0.0,0.12366737739872068
68.75,0.0,0.0,0.0,0.0,0.08742004264392324
70.0,0.0,0.0,0.0,0.0,0.10660980810234541
71.25,0.0,0.0,0.0,0.0,0.1023454157782516
72.5,0.0,0.0,0.0,0.0,0.09594882729211088
73.75,0.0,0.0,0.0,0.0,0.07036247334754797
75.0,0.0,0.0,0.0,0.0,0.06609808102345416
76.25,0.0,0.0,0.0,0.0,0.021321961620469083
77.5,0.0,0.0,0.0,0.0,0.021321961620469083
78.75,0.0,0.0,0.0,0.0,0.017057569296375266
80.0,0.0,0.0,0.0,0.0,0.006396588486140725
81.25,0.0,0.0,0.0,0.0,0.0021321961620469083
82.5,0.0,0.0,0.0,0.0,0.0
83.75,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0,0.0,0.0
