bins(photon_counts/10^3),hist_ref,hist_atom(mol_freq=-64.79500000000002),hist_atom(mol_freq=-16.88000000000001),hist_atom(mol_freq=-3.190000000000012)
-15.0,,,,
-13.75,0.0,0.0,0.0,0.0
-12.5,0.00011331444759206799,0.0,0.0,0.0
-11.25,0.0,0.0,0.0,0.0
-10.0,0.0005665722379603399,0.0,0.0,0.0
-8.75,0.0016997167138810198,0.0,0.0,0.0
-7.5,0.006345609065155807,0.0,0.0,0.0
-6.25,0.014390934844192635,0.0,0.0,0.0
-5.0,0.034674220963172804,0.0,0.0,0.0
-3.75,0.07036827195467422,0.0,0.0,0.0
-2.5,0.11433427762039661,0.0,0.0,0.0
-1.25,0.1571671388101983,0.0,0.0,0.0
0.0,0.17575070821529745,0.0,0.0,0.0
1.25,0.1631728045325779,0.0,0.0,0.0
2.5,0.11909348441926346,0.0,0.0,0.0
3.75,0.07331444759206798,0.008156606851549755,0.0,0.0
5.0,0.04260623229461756,0.021207177814029365,0.0,0.0
6.25,0.017903682719546742,0.04567699836867863,0.0,0.0
7.5,0.005779036827195467,0.06851549755301795,0.0,0.0
8.75,0.0015864022662889518,0.15497553017944535,0.0,0.0
10.0,0.0006798866855524079,0.18107667210440456,0.0,0.0
11.25,0.00033994334277620395,0.1500815660685155,0.0,0.0
12.5,0.0,0.1500815660685155,0.0,0.0
13.75,0.0,0.09951060358890701,0.0,0.0
15.0,0.0,0.06525285481239804,0.0,0.0
16.25,0.0,0.03425774877650897,0.0,0.0
17.5,0.0,0.013050570962479609,0.0,0.0
18.75,0.0,0.004893964110929853,0.0,0.0
20.0,0.00011331444759206799,0.0032626427406199023,0.0,0.0
21.25,0.0,0.0,0.0,0.0
22.5,0.0,0.0,0.0,0.0
23.75,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0
26.25,0.0,0.0,0.0,0.0
27.5,0.0,0.0,0.0018656716417910447,0.0
28.75,0.0,0.0,0.007462686567164179,0.0
30.0,0.0,0.0,0.033582089552238806,0.0
31.25,0.0,0.0,0.020522388059701493,0.0
32.5,0.0,0.0,0.027985074626865673,0.0
33.75,0.0,0.0,0.07276119402985075,0.0
35.0,0.0,0.0,0.08955223880597014,0.0
36.25,0.0,0.0,0.125,0.0
37.5,0.0,0.0,0.12313432835820895,0.0
38.75,0.0,0.0,0.13059701492537312,0.0
40.0,0.0,0.0,0.13059701492537312,0.0
41.25,0.0,0.0,0.09328358208955224,0.0
42.5,0.0,0.0,0.06343283582089553,0.0
43.75,0.0,0.0,0.041044776119402986,0.0
45.0,0.0,0.0,0.024253731343283583,0.0
46.25,0.0,0.0,0.009328358208955223,0.0
47.5,0.0,0.0,0.0037313432835820895,0.0
48.75,0.0,0.0,0.0018656716417910447,0.0
50.0,0.0,0.0,0.0,0.0
51.25,0.0,0.0,0.0,0.0
52.5,0.0,0.0,0.0,0.0
53.75,0.0,0.0,0.0,0.0021321961620469083
55.0,0.0,0.0,0.0,0.0
56.25,0.0,0.0,0.0,0.0021321961620469083
57.5,0.0,0.0,0.0,0.0021321961620469083
58.75,0.0,0.0,0.0,0.01279317697228145
60.0,0.0,0.0,0.0,0.01279317697228145
61.25,0.0,0.0,0.0,0.0255863539445629
62.5,0.0,0.0,0.0,0.04051172707889126
63.75,0.0,0.0,0.0,0.0511727078891258
65.0,0.0,0.0,0.0,0.057569296375266525
66.25,0.0,0.0,0.0,0.07249466950959488
67.5,0.0,0.0,0.0,0.12366737739872068
68.75,0.0,0.0,0.0,0.08742004264392324
70.0,0.0,0.0,0.0,0.10660980810234541
71.25,0.0,0.0,0.0,0.1023454157782516
72.5,0.0,0.0,0.0,0.09594882729211088
73.75,0.0,0.0,0.0,0.07036247334754797
75.0,0.0,0.0,0.0,0.06609808102345416
76.25,0.0,0.0,0.0,0.021321961620469083
77.5,0.0,0.0,0.0,0.021321961620469083
78.75,0.0,0.0,0.0,0.017057569296375266
80.0,0.0,0.0,0.0,0.006396588486140725
81.25,0.0,0.0,0.0,0.0021321961620469083
82.5,0.0,0.0,0.0,0.0
83.75,0.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0,0.0
