Delta/Gamma,photon counts/10^3 (odt=0),sigma_photon counts/10^3 (odt=0),photon counts/10^3 (odt=1),sigma_photon counts/10^3 (odt=1),photon counts/10^3 (odt=2),sigma_photon counts/10^3 (odt=2),photon counts/10^3 (odt=3),sigma_photon counts/10^3 (odt=3),photon counts/10^3 (odt=4),sigma_photon counts/10^3 (odt=4),photon counts/10^3 (odt=5),sigma_photon counts/10^3 (odt=5)
-10.674629324546954,10.885169501019178,2.6175530558137687,11.35561394546362,3.044476277205841,13.520058389908066,2.414635672746256,17.071169501019178,3.514700872367693,19.948312358162035,2.652293962837853,23.261169501019175,3.212781292955317
-9.546952224052719,10.201169501019177,2.143772375976517,12.98561394546362,2.7589173041898203,15.982280612130287,2.758538036490603,18.66228061213029,4.073150417181725,22.459740929590602,3.19847699726617,31.18783616768584,3.040175433534497
-8.419275123558485,12.571169501019176,3.7075103955799413,16.821169501019178,1.7342177230991243,19.328947278796953,3.1463145204712752,22.73561394546362,3.5745073043897677,30.782707962557637,2.4684278589163906,42.02866950101917,4.270444209915404
-7.2915980230642505,16.754502834352508,2.176623276749766,18.406725056574732,2.586364291223025,23.32783616768584,2.918934356537978,30.70450283435251,4.078704859797204,40.83655411640379,4.002861698228897,57.75545521530489,3.477547810672084
-6.163920922570017,17.12450283435251,2.724357212669114,22.618816559842706,1.694931993817988,27.352934206901526,3.7842214760675406,37.39228061213029,4.318961923745731,55.35655411640379,3.73541186151513,79.04616950101918,6.904149114843914
-5.036243822075783,21.572078591928268,3.106115535360567,28.449919501019178,3.047170562587529,38.29411067748977,3.5586973239654163,50.91058126572506,3.213238188180148,76.96116950101917,5.115044476834976,nan,nan
-3.9085667215815496,28.090260410110087,2.9724475820608127,36.137419501019174,3.6256393832674534,48.823669501019175,3.694427391355797,70.13850283435251,3.726581036583294,118.48116950101918,0.0,nan,nan
-2.780889621087316,36.38298768283735,3.060736150850636,45.48545521530489,3.847687086857161,66.30741950101918,5.263552596630911,104.48116950101918,4.873356133097601,nan,nan,nan,nan
-1.6532125205930823,48.09026041011008,3.2622732022749097,64.43116950101917,4.233780816244507,94.13894727879695,5.652833660657434,nan,nan,nan,nan,nan,nan
-0.5255354200988487,63.7033917232414,3.3622934559539295,91.28116950101918,3.6680239911974404,nan,nan,nan,nan,nan,nan,nan,nan
